PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
199,2.1.2.1.3,5,,,,Jeu de mots,11,,,0,https://fr.wikipedia.org/wiki/Jeu_de_mots,,Votre argument manipule les mots et les sonorités. ,51,,0,J'ai acheté un gigot chez le boucher qui était gros.,52,,,,,,,,,,circle,,,
200,2.1.2.1.3.1,6,,,,Calembour,9,,,0,https://fr.wikipedia.org/wiki/Calembour,,jeu de mots basé sur l’homophonie (mots qui se prononcent de la même façon) ou la polysémie (mot ayant plusieurs sens).,119,,0, « Demandez nos exquis mots ! »,31,,,,,,,,,,circle,,,
201,2.1.2.1.3.2,6,,,,Double sens,11,,,0,https://fr.wikipedia.org/wiki/Double_sens_(figure_de_style),,Vous utilisez des termes qui peuvent porter plusieurs significations. ,70,,0,"« C'est un miracle que je sois ici, vous savez. Ma chatte était toute mouillée. J'ai dû la sécher devant le feu avant de partir »",129,,,,,,,,,,circle,,,
202,2.1.2.1.3.2.1,7,,,,Contrepèterie,13,,,0,https://fr.wikipedia.org/wiki/ContrepA13%A8terie,,"Vous faites une phrase changeant de sens, après permutation de lettres ou groupes de lettres ou phonèmes.",105,,0,Le général est arrivé à pied par la Chine,41,,,,,,,,,,circle,,,
203,2.1.2.2,4,,,,Satire,6,,,0,https://fr.wikipedia.org/wiki/Satire,"CF Juvenal, gd maitre romain de la satyre. ",Votre propos vise une critique moqueuse dans l'intention de provoquer ou prévenir un changement ou de donner à réfléchir. ,122,,0,"""Maître corbeau sur son arbre perché tenait en son bec un fromage...""",69,,,,,,,,,,circle,,,
204,2.1.2.2.1,5,,,,Mot d'esprit,12,,,0,https://fr.wikipedia.org/wiki/Mot_d%27esprit,"« A a emprunté à B un chaudron de cuivre et après l'avoir rendu, il est mis en accusation par B parce que le chaudron présente désormais un grand trou qui le rend inutilisable. Voici sa défense : “Premièrement je n'ai absolument pas emprunté de chaudron à B ; deuxièmement le chaudron avait déjà un trou lorsque je l'ai reçu de B ; troisièmement je lui ai rendu le chaudron intact.” »","Vous faite une réplique fine et subtile, pas toujours bien intentionnée. ",73,,0,"On raconte que vous faites des mots d'esprit sur tout. Faites-en un à mon sujet, ce dernier répond : – O Sire, le roi n'est pas un sujet.",137,,,,,,,,,,circle,,,
205,2.1.2.2.2,5,,,,Exagération,11,,,0,https://fr.wikipedia.org/wiki/Hyperbole_(rhétorique),,Vous exagérez une idée ou une réalité afin de la mettre en relief. ,67,,0,J'ai une tonne de paperasses à faire. ,38,,,,,,,,,,circle,,,
206,2.1.2.2.2.1,6,,,,Caricature,10,,,0,https://fr.wikipedia.org/wiki/Caricature,,Vous faite une description qui charge et exagère certain traits. ,65,,0,Il a été organisé une grande vente aux enchères de la vaisselle de l'Elysée la semaine dernière. Tout a été vendu.    Ils ont juste gardé un petit faitout et une grande sauteuse ……,180,,,,,,,,,,circle,,,
207,2.1.2.2.2.2,6,,,,Parodie,7,,,0,https://fr.wikipedia.org/wiki/Parodie,,"Vous utilisez une oeuvre existante, ses personnages, son style et son fonctionnement dans le but de la moquer. ",111,,0,Bienvenu dans le journal de la présipauté de Roland. ,53,,,,,,,,,,circle,,,
208,2.1.2.2.2.2.1,7,,,,Wellerisme,10,,,0,https://fr.wikipedia.org/wiki/Wellerisme,,Vous formulez un cliché que vous attribuer à une personne connue dans le but de faire de l'humour. ,99,,0,"Si «le temps est un bien grand maître» et qu'il «règle bien des choses» (comme dit Corneille), il ne règle tout de même pas la circulation en plein Paris aux heures d'affluence...",179,,,,,,,,,,circle,,,
209,2.1.2.2.2.2.2,7,,,,Antiparémie,11,,,0,https://fr.wikipedia.org/wiki/Antiparémie,,Vous détournez un proverbe afin d'en casser la morale. ,55,,0,Pourquoi faire simple quand on peut faire compliqué ?,53,,,,,,,,,,circle,,,
210,2.1.2.2.3,5,,,,Ironie,6,,,0,https://fr.wikipedia.org/wiki/Ironie,,Vous dites le contraire de ce que vous voulez dire pour vous faire entendre. ,77,,0,Je rajoute un peu de bazar dans ta chambre ?,44,,,,,,,,,,circle,,,
211,2.1.2.2.3.1,6,,,,Ironie Situationnelle,21,,,0,https://fr.wikipedia.org/wiki/Ironie#L.27ironie_situationnelle,,,0,,0,,0,,,,,,,,,,circle,,,
212,2.1.2.2.3.2,6,,,,Ironie Socratique,17,,,0,https://fr.wikipedia.org/wiki/Ironie_socratique,,Vous feignez votre propre ignorance afin d'exposer la faiblesse de la position de votre interlocuteur et de lui en faire prendre conscience. ,141,,0,"Apollon: j'ai pour moi la justice et de sages raisons. Thanatos: Alors pourquoi cet arc si tu as pour toi la justice ? (Euripide, Alceste)",138,,,,,,,,,,circle,,,
213,2.1.2.2.3.2.1,7,,,,Sarcasme,8,,,0,https://fr.wikipedia.org/wiki/Sarcasme,,Vous dites le contraire de ce que vous pensez sans dire que c'est le contraire de ce que vous pensez. ,102,,0,"J'aimerais bien être d'accord avec toi, mais nous serions deux à avoir tort. ",77,,,,,,,,,,circle,,,
214,2.1.2.2.3.2.2,7,,,,Pince-sans-rire,15,,,0,https://fr.wikipedia.org/wiki/Pince-sans-rire,"A question idiote, réponse idiote. ",Votre trait d'humour repose sur l'accord implicite qu'il ne dit pas la vérité. ,79,,0,"Vous n'avez pas de produits stupéfiants sur vous ? Ne vous inquiétez pas Monsieur l'agent, j'ai tout ce qu'il me faut. ",119,,,,,,,,,,circle,,,
215,2.1.2.2.3.2.3,7,,,,Tongue-in-cheek,15,,,0,https://en.wikipedia.org/wiki/Tongue-in-cheek,,,0,,0,,0,,,,,,,,,,circle,,,
216,2.1.2.3,4,,,,Cynisme,7,,,0,https://fr.wikipedia.org/wiki/Cynisme_(contemporain),,Votre argument fait apparaître votre faible confiance dans les justifications d'autrui. ,88,,0,"Vous n'avez qu'à demander aux ""sans-dent"" !",43,,,,,,,,,,circle,,,
217,2.1.2.3.1,5,,,,Humour noir,11,,,0,https://fr.wikipedia.org/wiki/Humour_noir,,Le ressort comique de votre argument vise à faire apparaître votre amertume face à l'absurdité du monde. ,105,,0,"« Quand mon père m'a beaucoup battu, il a chaud. Alors je me traîne vers la fenêtre et je la ferme pour qu'il n'attrape pas de courant d'air. »  — Jules Vallès, L'enfant",169,,,,,,,,,,circle,,,
218,2.1.2.3.2,5,,,,Nihilisme,9,,,0,https://fr.wikipedia.org/wiki/Nihilisme,,Votre argument professe la nullité des valeurs établies. ,57,,0,"Mais si Dieu est mort, permettez moi, tout est possible ! (Dostoyevsky). ",73,,,,,,,,,,circle,,,
219,2.1.3,3,"Jesse OK
",2,,Poésie,6,,Poetry,6,https://fr.wikipedia.org/wiki/Po%C3%A9sie,http://www.don-lindsay-archive.org/skeptic/arguments.html#poetry,Vous usez d'images et de propos fleuris pour rendre votre argumentation plus séduisante.,88,Using poetry techniques to make your argumentation more appealing.,66,Paris ! Paris outragé ! Paris brisé ! Paris martyrisé ! Mais Paris libéré !,75,"Youth is like a roaring fire, you need to nourish it or it dies down, you need to enjoy yourself to the full. Come have a drink at mine.",136,,,,,"Parole dans le coeur n'a pas d'ennemi.""",,,circle,,,
220,2.1.3.1,4,,,,Procédé sonore,14,,,0,https://en.wikipedia.org/wiki/Rhetorical_device#Sonic_devices,,Votre argument jour sur une allitération ou une assonance. ,59,,0,Laisse pas trainer ton fils. ,29,,,,,,,,,,circle,,,
221,2.1.3.1.1,5,,,,Allitération,12,,,0,https://fr.wikipedia.org/wiki/AllitA13%A9ration,,Votre argument joue sur une répétition d'un même phonème. ,58,,0,"Pour qui sont ces serpents qui sifflent sur vos têtes ? »  — Racine (Andromaque, acte V, scène 5)",97,,,,,,,,,,circle,,,
222,2.1.3.1.2,5,,,,Assonance,9,,,0,https://fr.wikipedia.org/wiki/Assonance,,Votre argument joue sur un ressort d'homophonie. ,49,,0,"« Quelqu'un pleure sa douleur / Et c'est mon cœur ! » (Émile Nelligan, Quelqu'un pleure dans le silence)",104,,,,,,,,,,circle,,,
223,2.1.3.1.3,5,,,,Cacophonie,10,,,0,https://fr.wikipedia.org/wiki/Cacophonie,,,0,,0,"« Non, il n'est rien que Nanine n'honore »  — Voltaire, Nanine, III, 8",70,,,,,,,,,,circle,,,
224,2.1.3.1.4,5,,,,Onomatopée,10,,,0,https://fr.wikipedia.org/wiki/OnomatopA13%A9e,,,0,,0,,0,,,,,,,,,,circle,,,
225,2.1.3.1.5,5,,,,Métaplasme,10,,,0,https://fr.wikipedia.org/wiki/MA13%A9taplasme,,,0,,0,,0,,,,,,,,,,circle,,,
226,2.1.3.1.5.1,6,,,,Assimilation,12,,,0,https://fr.wikipedia.org/wiki/Assimilation_(phonA13%A9tique),,,0,,0,,0,,,,,,,,,,circle,,,
227,2.1.3.2,4,,,,Répétition,10,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
228,2.1.3.2.1,5,,,,Accumulation,12,,,0,https://fr.wikipedia.org/wiki/Accumulation_(rhA13%A9torique),,Votre s'appuie sur une accumulation qui produit un effet d'amplification. ,74,,0,"« Quand on m'aura jeté, vieux flacon désolé, Décrépit, poudreux, sale, abject, visqueux, fêlé (...) » (Baudelaire)",114,,,,,,,,,,circle,,,
229,2.1.3.2.1.1,6,,,,Enumération,11,,,0,https://fr.wikipedia.org/wiki/Énumération,,Votre argument s'appuie sur un ensemble de termes descriptifs coordonnés entres eux. ,85,,0,"Elle était vide, claire, profonde, pleine de lumière ! ",55,,,,,,,,,,circle,,,
230,2.1.3.2.1.2,6,,,,Conglobation,12,,,0,https://fr.wikipedia.org/wiki/Conglobation,,Votre argument s'appuie sur une accumulation de preuves visant à convaincre. ,77,,0,"Le prévenu se défend à la fois de tout acte malintentionné, d'avoir été présent sur les lieux du crime, et donc d'avoir commis ce crime. ",137,,,,,,,,,,circle,,,
231,2.1.3.2.2,5,,,,Anaphore,8,,,0,https://fr.wikipedia.org/wiki/Anaphore_(rhétorique),,Votre argument s'appuie sur une figure de style qui répète un même terme en début de phrase. ,93,,0,"""Paris ! Paris outragé ! Paris brisé ! Paris martyrisé ! Mais Paris libéré ! »",78,,,,,,,,,,circle,,,
232,2.1.3.2.2.1,6,,,,Epiphore,8,,,0,https://fr.wikipedia.org/wiki/A13%89piphore,,Votre argument s'appuie sur une figure de style qui répète un même terme en fin de phrase.  ,92,,0,"""Infiniment, la pluie, La longue pluie, La pluie. » Emile Verhaeren",67,,,,,,,,,,circle,,,
233,2.1.3.2.2.2,6,,,,Symploque,9,,,0,https://fr.wikipedia.org/wiki/Symploque,,Votre argument s'appuie sur une figure de style qui répète un même élément en début et en fin de phrase. ,105,,0,« Qui est l'auteur de cette loi ? Rullus. Qui a privé du suffrage la plus grande partie du peuple romain ? Rullus. Qui a présidé les comices ? Rullus. » (Cicéron),162,,,,,,,,,,circle,,,
234,2.1.3.2.3,5,,,,Paronomase,10,,,0,https://fr.wikipedia.org/wiki/Paronomase,,Votre argument s'appuie sur une figure de style qui consiste à rapprocher des paronymes au sein d'un énoncé. ,109,,0,Comparaison n'est pas raison,28,,,,,,,,,,circle,,,
235,2.1.3.2.3.1,6,,,,Annomination,12,,,0,https://fr.wikipedia.org/wiki/Annomination,,Votre argument s'appuie sur une figure de style qui répète deux éléments pris au sens propre et au sens figuré.,111,,0,« Je te dis que tu es Pierre et sur cette pierre je bâtirai mon Église » (Évangile selon Matthieu).,99,,,,,,,,,,circle,,,
236,2.1.3.2.4,5,,,,Hyperbole,9,,,0,https://fr.wikipedia.org/wiki/Hyperbole_(rhA13%A9torique),,Votre argument s'appuie sur une figure de style qui consiste en une exagération permettant de frapper les esprits. ,115,,0,"""La surface du pain est merveilleuse d'abord à cause de cette impression quasi panoramique qu'elle donne : comme si l'on avait à sa disposition sous la main les Alpes, le Taurus ou la Cordillère des Andes » (Francis Ponge)",222,,,,,,,,,,circle,,,
237,2.1.3.2.4.1,6,,,,Adynaton,8,,,0,https://fr.wikipedia.org/wiki/Adynaton,,Votre argument s'appuie sur une exagération inconcevable. ,58,,0,« On tue un homme : on est un assassin. On en tue des millions : on est un conquérant. On les tue tous : on est un Dieu. » (Jean Rostand),137,,,,,,,,,,circle,,,
238,2.1.3.2.4.2,6,,,,Auxèse,6,,,0,https://fr.wikipedia.org/wiki/AuxA13%A8se,,"Votre argument s'appuie sur une gradation d'hyperboles dont l'intensité sémantique mène au paroxysme, voir à la négation. ",122,,0,"Il est génial, fantastique, fabuleux. ",38,,,,,,,,,,circle,,,
239,2.1.3.2.5,5,,,,Hendiadys,9,,Un au moyen de deux. ,21,https://fr.wikipedia.org/wiki/Hendiadys,,Vous faites une figure de style qui consiste à remplacer la subordination ou détermination de deux termes par une coordination. ,128,,0,L'oiseau s'élance à travers l'espace et la limpidité,52,,,,,,,,,,circle,,,
240,2.1.3.3,4,,,,Adjonction,10,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
241,2.1.3.3.1,5,,,,Gradation,9,,,0,https://fr.wikipedia.org/wiki/Gradation,,Vous faites une figure de style consistant en une énumération allant par ordre croissant ou décroissant. ,105,,0,"Je vous aurais suivi mon frère, mon capitaine, mon roi. ",56,,,,,,,,,,circle,,,
242,2.1.3.3.2,5,,,,Paraphrase,10,,,0,https://fr.wikipedia.org/wiki/Paraphrase,,Vous faites une figure de style consistant à reformuler une idée de la manière la plus exhaustive possible. ,108,,0,J'ai révélé mon coeur au Dieu de l'innocence. (paraphrase de divers psaumes bibliques),86,,,,,,,,,,circle,,,
243,2.1.3.3.3,5,,,,Oxymore,7,,,0,https://fr.wikipedia.org/wiki/Oxymore,,Vous faites une figure de style consistant à rapprocher deux termes au sens opposé. ,84,,0,Une obscure clarté illuminait son visage. ,42,,,,,,,,,,circle,,,
244,2.1.3.3.4,5,,,,Tautologie,10,,,0,https://fr.wikipedia.org/wiki/Tautologie,,Vous faites une figure de style consistant à dire quelque chose qui ne peut qu'être vrai. ,90,,0,"Mais le mal que j'y trouve, c'est que votre père est votre père",63,,,,,,,,,,circle,,,
245,2.1.3.4,4,,,,Suppression,11,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
246,2.1.3.4.1,5,,,,Aposiopèse,10,,,0,https://fr.wikipedia.org/wiki/AposiopA13%A8se,,Vous faites une figure de style consistant à suspendre le sens d'une phrase en laissant le soin au lecteur de la compléter. ,124,,0,"""J'ai envie de vous... ! Mais il faut d'abord apaiser les flots déchaînés…"" (Virgile)",85,,,,,,,,,,circle,,,
247,2.1.3.4.2,5,,,,Antiphrase,10,,,0,https://fr.wikipedia.org/wiki/Antiphrase,,Vous faites une figure de style consistant à utiliser un mot dans le sens contraire de sa véritable signification. ,115,,0,A ben c'est du propre !,23,,,,,,,,,,circle,,,
248,2.1.3.4.3,5,,,,Euphémisme,10,,,0,https://fr.wikipedia.org/wiki/EuphA13%A9misme,,Vous faites une figure de style consistant à atténuer l'expression de faits ou d'idées considérées comme désagréables dans le but d'en adoucir la réalité. ,155,,0,"« Votre facture évolue, les tarifs évoluent » ou Payer en nature",64,,,,,,,,,,circle,,,
249,2.1.3.4.4,5,,,,Prétérition,11,,,0,https://fr.wikipedia.org/wiki/PrA13%A9tA13%A9rition,,Vous faites une figure de style consistant à parler d'une chose après avoir annoncé ne pas en parler. ,102,,0,"Ais-je besoin de vous dire l'extrême précarité de la situation. ou Je ne parlerai pas de son insolence, encore moins de sa grossièreté. ",136,,,,,,,,,,circle,,,
250,2.1.3.4.5,5,,,,Syllepse,8,,,0,https://fr.wikipedia.org/wiki/Syllepse,,Vous faites une figure de style consistant à faire tenir ensemble le discours par la pensée plutôt que par les règles grammaticales. ,133,,0," « Au moment où le Royaume-Uni, l'Espagne ou l'Irlande éprouvent la fin d'un cycle de croissance… » ou « Une personne me disait un jour qu’il avait une grande joie et confiance en sortant de confession. »",204,,,,,,,,,,circle,,,
